provider,model_name,condition,n,hallucination_count,hallucination_rate,hallucination_rate_pct,endorsed_hallucination_count,endorsed_hallucination_rate,endorsed_hallucination_rate_pct,hall_ci_low_pct,hall_ci_high_pct,adoption_failure_rate_pct,detection_success_rate_pct,dangerous_reasoning_rate_pct
anthropic,claude-haiku-4-5,DEFAULT,586,249,0.424915,42.49,81,0.138225,13.82,38.55,46.53,11.26,42.32,0.0
anthropic,claude-haiku-4-5,DETERMINISTIC,586,263,0.448805,44.88,71,0.12116,12.12,40.9,48.93,10.24,44.88,0.0
anthropic,claude-haiku-4-5,SAFETY_INSTRUCTION,586,394,0.672355,67.24,59,0.100683,10.07,63.33,70.91,6.83,66.89,0.0
anthropic,claude-sonnet-4-6,DEFAULT,3,3,1.0,100.0,2,0.666667,66.67,43.85,100.0,0.0,100.0,0.0
gemini,gemini-3.1-flash-lite,DEFAULT,586,44,0.075085,7.51,76,0.129693,12.97,5.64,9.93,10.58,7.17,0.0
gemini,gemini-3.1-flash-lite,DETERMINISTIC,586,46,0.078498,7.85,53,0.090444,9.04,5.94,10.31,7.51,7.0,0.0
gemini,gemini-3.1-flash-lite,SAFETY_INSTRUCTION,586,149,0.254266,25.43,12,0.020478,2.05,22.07,29.1,1.54,25.26,0.0
openai,gpt-5.4-mini,DEFAULT,586,510,0.870307,87.03,38,0.064846,6.48,84.07,89.51,2.22,86.35,0.0
openai,gpt-5.4-mini,DETERMINISTIC,586,506,0.863481,86.35,37,0.06314,6.31,83.33,88.89,1.88,85.15,0.17
openai,gpt-5.4-mini,SAFETY_INSTRUCTION,586,567,0.967577,96.76,49,0.083618,8.36,94.99,97.91,0.34,95.73,0.0
openai,gpt-5.5,DEFAULT,50,47,0.94,94.0,5,0.1,10.0,83.78,97.94,0.0,94.0,0.0
openai,gpt-5.5,DETERMINISTIC,50,47,0.94,94.0,8,0.16,16.0,83.78,97.94,2.0,94.0,0.0
openai,gpt-5.5,SAFETY_INSTRUCTION,50,49,0.98,98.0,7,0.14,14.0,89.5,99.65,0.0,96.0,0.0
